City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Waingapu,ID,79.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
6,Torbay,CA,71.38,broken clouds,47.6666,-52.7314,Gallows Cove
7,Arcata,US,76.68,overcast clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
8,Hamilton,US,85.77,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
10,Georgetown,MY,76.93,few clouds,5.4112,100.3354,Cititel Penang
15,Auki,SB,83.39,broken clouds,-8.7676,160.7034,Auki Motel
21,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Bathsheba,BB,82.38,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,Faanui,PF,78.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Itoman,JP,79.18,shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
30,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Rikitea,PF,70.59,broken clouds,-23.1203,-134.9692,People ThankYou
36,Jamestown,US,77.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Namatanai,PG,83.82,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
44,Brazzaville,CG,76.96,broken clouds,-4.2658,15.2832,Hotel Muesse
48,Cabo San Lucas,MX,82.62,mist,22.8909,-109.9124,Hotel Tesoro Los Cabos
50,Broome,US,75.97,broken clouds,42.2506,-75.833,Chenango Valley State Park
52,Mawlaik,MM,75.56,broken clouds,23.6333,94.4167,AKZ Guest House
53,Vaini,TO,70.97,clear sky,-21.2,-175.2,Keleti Beach Resort
60,Kutum,SD,77.83,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
61,Dakar,SN,77.88,moderate rain,14.6937,-17.4441,Novotel Dakar
62,Atuona,PF,76.12,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
63,Maues,BR,84.13,overcast clouds,-3.3836,-57.7186,Hotel Miramar
67,Mahebourg,MU,68.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Tabou,CI,74.71,few clouds,4.423,-7.3528,hotêl doufoulougou
71,Marsa Matruh,EG,77.74,clear sky,31.3525,27.2453,Beau Site
72,La Ronge,CA,66.51,clear sky,55.1001,-105.2842,Northland Motor Hotel
73,Cubuk,TR,74.77,clear sky,40.2386,33.0322,Çubuk Öğretmenevi
76,Hithadhoo,MV,80.71,broken clouds,-0.6,73.0833,Scoop Guest House
78,Souillac,MU,68.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
79,Atar,MR,85.89,overcast clouds,20.5169,-13.0499,Oumou Elghoura
81,Eydhafushi,MV,79.57,broken clouds,5.1033,73.0708,Soneva Fushi
82,Uthal,PK,79.32,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
85,Baddomalhi,PK,78.78,few clouds,31.9928,74.6683,"C,H ShAni Malhi"
86,Saint Anthony,US,88.83,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
91,Balkhash,KZ,73.92,few clouds,46.844,74.9804,Family
92,Temirtau,KZ,69.15,scattered clouds,50.0544,72.9483,Bota Hotel
93,San-Pedro,CI,73.38,clear sky,4.7485,-6.6363,Hotel Maria
96,Eunice,US,86.09,overcast clouds,30.4944,-92.4176,"Holiday Inn Express Eunice, an IHG Hotel"
97,Sandakan,MY,76.89,overcast clouds,5.8402,118.1179,Hotel Sandakan
98,Taitung,TW,80.87,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
99,Puerto Cabello,VE,85.55,broken clouds,10.4731,-68.0125,Las Palmeras
